cod_municipio,nome_municipio,latitude,populacao_2022,casos_hanseniase_2024,taxa_bruta_hanseniase,casos_esperados,sme,theta_eb,taxa_estimada_eb,dados_esparsos,estabilidade,proporcao_suavizacao
2800100,Amparo do São Francisco,28,75041,9,11.993443584173985,2.8990810544079713,3.1044320014149838,2.677163286558705,267716.3286558705,False,Estável (> 5 casos),22319.02908489291
2800209,Aquidabã,28,47120,1,2.1222410865874366,1.8204008379912795,0.5493295647476463,0.572418148298282,57241.814829828196,True,Instável (1-2 casos),26958.640236535586
2800308,Aracaju,28,18953,0,0.0,0.7322168311215772,0.0,0.29114589876977537,29114.589876977538,True,Muito instável (0 casos),29114589.876977537
2800407,Arauá,28,20472,0,0.0,0.7909008055041908,0.0,0.278936590203708,27893.659020370796,True,Muito instável (0 casos),27893659.020370796
2800506,Areia Branca,28,52481,4,7.621805986928602,2.0275139299367644,1.9728594417720005,1.6655289317354538,166552.89317354537,False,Moderada (3-5 casos),21848.289416409927
2800605,Barra dos Coqueiros,28,59809,5,8.359945827551037,2.310618712211809,2.1639225777816957,1.8465707436411356,184657.07436411356,False,Moderada (3-5 casos),22084.6681974461
2800670,Boquim,28,5000,0,0.0,0.19316647262216463,0.0,0.48691832406683755,48691.83240668375,True,Muito instável (0 casos),48691832.40668375
2800704,Brejo Grande,28,5000,0,0.0,0.19316647262216463,0.0,0.48691832406683755,48691.83240668375,True,Muito instável (0 casos),48691832.40668375
2801009,Campo do Brito,28,38799,3,7.732158045310446,1.4989331942534732,2.0014234200037957,1.6087612771799493,160876.12771799494,False,Moderada (3-5 casos),20802.419220890446
2801108,Canhoba,28,28061,0,0.0,1.0840888776501123,0.0,0.23061927682345523,23061.927682345522,True,Muito instável (0 casos),23061927.68234552
2801207,Canindé de São Francisco,28,56606,0,0.0,2.18687626985005,0.0,0.1396387132172257,13963.87132172257,True,Muito instável (0 casos),13963871.32172257
2801306,Capela,28,73721,6,8.138793559501364,2.84808510563572,2.1066786200058942,1.8487492819956706,184874.92819956705,False,Estável (> 5 casos),22711.48378084079
2801405,Carira,28,5000,0,0.0,0.19316647262216463,0.0,0.48691832406683755,48691.83240668375,True,Muito instável (0 casos),48691832.40668375
2801504,Carmópolis,28,16665,0,0.0,0.6438238532496747,0.0,0.31169605531082323,31169.60553108232,True,Muito instável (0 casos),31169605.53108232
